Vehicle_Name,Name,Price($),InventoryType,Distance from 30341,Dealership
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$44,315",New,15 mi. from 30341,Audi Marietta
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$46,690",New,15 mi. from 30341,Audi Marietta
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$46,690",New,15 mi. from 30341,Audi Marietta
2022-Audi-SQ8,2022 Audi SQ8 4.0T quattro Premium Plus,"$100,640",New,15 mi. from 30341,Audi Marietta
2022-Audi-S5,2022 Audi S5 3.0T Premium Plus,"$66,645",New,15 mi. from 30341,Audi Marietta
2022-Audi-R8,2022 Audi R8 5.2 V10 performance,"$159,695",New,15 mi. from 30341,Audi Marietta
2022-Audi-e-tron,2022 Audi e-tron GT Prestige,"$123,590",New,15 mi. from 30341,Audi Marietta
2022-Audi-A4,2022 Audi A4 40 Premium,"$44,730",New,15 mi. from 30341,Audi Marietta
2022-Audi-RS,2022 Audi RS Q8 4.0T quattro,"$142,690",New,15 mi. from 30341,Audi Marietta
2022-Audi-TT,2022 Audi TT 2.0T,"$56,240",New,130 mi. from 30341,Gerald Jones VW/Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$47,015",New,130 mi. from 30341,Gerald Jones VW/Audi
2022-Audi-Q7,2022 Audi Q7 55 Premium Plus,"$73,830",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-Q3,2022 Audi Q3 2.0T Premium Plus,"$47,015",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-Q8,2022 Audi Q8 55 Premium Plus,"$103,015",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-A4,2022 Audi A4 40 Premium,"$40,945",New,15 mi. from 30341,Audi Marietta
2022-Audi-A4,2022 Audi A4 40 Premium,"$40,945",New,15 mi. from 30341,Audi Marietta
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$47,035",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-A5,2022 Audi A5 2.0T Premium Plus,"$55,575",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-SQ7,2022 Audi SQ7 4.0T Premium Plus,"$97,705",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-Q5,2022 Audi Q5 45 Premium Plus,"$69,655",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$48,715",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q7,2022 Audi Q7 55 Premium,"$79,755",New,0 mi. from 30341,Audi Atlanta
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$49,065",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$42,745",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-S5,2022 Audi S5 3.0T Premium Plus,"$63,570",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-S5,2022 Audi S5 3.0T Premium Plus,"$66,375",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$60,330",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-A4,2022 Audi A4 40 Premium,"$43,615",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-Q7,2022 Audi Q7 55 Premium,"$78,590",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-e-tron,2022 Audi e-tron GT Premium Plus,"$121,985",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-S5,2022 Audi S5 3.0T Premium Plus,"$67,375",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-SQ5,2022 Audi SQ5 3.0T Premium,"$69,845",New,15 mi. from 30341,Audi Marietta
2022-Audi-A5,2022 Audi A5 40 Premium,"$54,065",New,0 mi. from 30341,Audi Atlanta
